fiscal_year,fiscal_year_start,triage_level,ctas_urgency_score,visit_disposition,main_problem,admission_status,ed_visits,median_los_minutes,median_los_hours,admission_flag,erbi
2021-2022,2021,CTAS I - Resuscitation,1,Unknown,Influenzal Pneumonia,Not Admitted,0,0,0.0,0,0
2021-2022,2021,CTAS I - Resuscitation,1,Unknown,Motor Vehicle Collisions,Not Admitted,0,0,0.0,0,0
2021-2022,2021,CTAS I - Resuscitation,1,Unknown,Pneumonia,Not Admitted,0,0,0.0,0,0
2021-2022,2021,CTAS I - Resuscitation,1,Unknown,Trauma,Not Admitted,0,0,0.0,0,0
2021-2022,2021,CTAS I - Resuscitation,1,Unknown,Unintentional Falls,Not Admitted,0,0,0.0,0,0
2021-2022,2021,CTAS II - Emergent,2,Admitted,Acute Myocardial Infarction,Admitted,13347,528,8.8,1,7047216
2021-2022,2021,CTAS II - Emergent,2,Admitted,Asthma,Admitted,2250,564,9.4,1,1269000
2021-2022,2021,CTAS II - Emergent,2,Admitted,Influenzal Pneumonia,Admitted,0,1506,25.1,1,0
2021-2022,2021,CTAS II - Emergent,2,Admitted,Motor Vehicle Collisions,Admitted,4363,462,7.7,1,2015706
2021-2022,2021,CTAS II - Emergent,2,Admitted,Pneumonia,Admitted,11251,768,12.8,1,8640768
2021-2022,2021,CTAS II - Emergent,2,Admitted,Trauma,Admitted,29489,588,9.8,1,17339532
2021-2022,2021,CTAS II - Emergent,2,Admitted,Unintentional Falls,Admitted,17236,660,11.0,1,11375760
2021-2022,2021,CTAS II - Emergent,2,Death,Acute Myocardial Infarction,Not Admitted,88,180,3.0,0,15840
2021-2022,2021,CTAS II - Emergent,2,Death,Asthma,Not Admitted,0,0,0.0,0,0
2021-2022,2021,CTAS II - Emergent,2,Death,Influenzal Pneumonia,Not Admitted,0,0,0.0,0,0
2021-2022,2021,CTAS II - Emergent,2,Death,Motor Vehicle Collisions,Not Admitted,0,126,2.1,0,0
2021-2022,2021,CTAS II - Emergent,2,Death,Pneumonia,Not Admitted,36,357,5.95,0,12852
2021-2022,2021,CTAS II - Emergent,2,Death,Trauma,Not Admitted,49,288,4.8,0,14112
2021-2022,2021,CTAS II - Emergent,2,Death,Unintentional Falls,Not Admitted,30,324,5.4,0,9720
2021-2022,2021,CTAS II - Emergent,2,Discharged Home,Acute Myocardial Infarction,Not Admitted,463,288,4.8,0,133344
2021-2022,2021,CTAS II - Emergent,2,Discharged Home,Asthma,Not Admitted,9616,240,4.0,0,2307840
2021-2022,2021,CTAS II - Emergent,2,Discharged Home,Influenzal Pneumonia,Not Admitted,7,204,3.4,0,1428
2021-2022,2021,CTAS II - Emergent,2,Discharged Home,Motor Vehicle Collisions,Not Admitted,28661,210,3.5,0,6018810
2021-2022,2021,CTAS II - Emergent,2,Discharged Home,Pneumonia,Not Admitted,9007,264,4.4,0,2377848
2021-2022,2021,CTAS II - Emergent,2,Discharged Home,Trauma,Not Admitted,182660,186,3.1,0,33974760
2021-2022,2021,CTAS II - Emergent,2,Discharged Home,Unintentional Falls,Not Admitted,63926,210,3.5,0,13424460
2021-2022,2021,CTAS II - Emergent,2,Intra-Facility Transfer,Acute Myocardial Infarction,Not Admitted,146,66,1.1,0,9636
2021-2022,2021,CTAS II - Emergent,2,Intra-Facility Transfer,Asthma,Not Admitted,27,216,3.6,0,5832
2021-2022,2021,CTAS II - Emergent,2,Intra-Facility Transfer,Influenzal Pneumonia,Not Admitted,0,0,0.0,0,0
2021-2022,2021,CTAS II - Emergent,2,Intra-Facility Transfer,Motor Vehicle Collisions,Not Admitted,85,288,4.8,0,24480
2021-2022,2021,CTAS II - Emergent,2,Intra-Facility Transfer,Pneumonia,Not Admitted,13,336,5.6,0,4368
2021-2022,2021,CTAS II - Emergent,2,Intra-Facility Transfer,Trauma,Not Admitted,1319,204,3.4,0,269076
2021-2022,2021,CTAS II - Emergent,2,Intra-Facility Transfer,Unintentional Falls,Not Admitted,230,270,4.5,0,62100
2021-2022,2021,CTAS II - Emergent,2,Not Seen Or Left,Acute Myocardial Infarction,Not Admitted,104,315,5.25,0,32760
2021-2022,2021,CTAS II - Emergent,2,Not Seen Or Left,Asthma,Not Admitted,122,222,3.7,0,27084
2021-2022,2021,CTAS II - Emergent,2,Not Seen Or Left,Influenzal Pneumonia,Not Admitted,0,0,0.0,0,0
