fiscal_year,fiscal_year_start,triage_level,ctas_urgency_score,visit_disposition,main_problem,admission_status,ed_visits,median_los_minutes,median_los_hours,admission_flag
2009-2010,2009,CTAS I - Resuscitation,1,Intra-Facility Transfer,Acute Myocardial Infarction,Not Admitted,8,48,0.8,0
2009-2010,2009,CTAS I - Resuscitation,1,Intra-Facility Transfer,Any,Not Admitted,126,134,2.23,0
2009-2010,2009,CTAS I - Resuscitation,1,Intra-Facility Transfer,Asthma,Not Admitted,5,212,3.53,0
2009-2010,2009,CTAS I - Resuscitation,1,Intra-Facility Transfer,Influenzal Pneumonia,Not Admitted,0,0,0.0,0
2009-2010,2009,CTAS I - Resuscitation,1,Intra-Facility Transfer,Motor Vehicle Collisions,Not Admitted,5,85,1.42,0
2009-2010,2009,CTAS I - Resuscitation,1,Intra-Facility Transfer,Pneumonia,Not Admitted,0,76,1.27,0
2009-2010,2009,CTAS I - Resuscitation,1,Intra-Facility Transfer,Trauma,Not Admitted,34,88,1.47,0
2009-2010,2009,CTAS I - Resuscitation,1,Intra-Facility Transfer,Unintentional Falls,Not Admitted,0,118,1.97,0
2009-2010,2009,CTAS I - Resuscitation,1,Not Seen Or Left,Acute Myocardial Infarction,Not Admitted,0,760,12.67,0
2009-2010,2009,CTAS I - Resuscitation,1,Not Seen Or Left,Any,Not Admitted,189,195,3.25,0
2009-2010,2009,CTAS I - Resuscitation,1,Not Seen Or Left,Asthma,Not Admitted,5,164,2.73,0
2009-2010,2009,CTAS I - Resuscitation,1,Not Seen Or Left,Influenzal Pneumonia,Not Admitted,0,0,0.0,0
2009-2010,2009,CTAS I - Resuscitation,1,Not Seen Or Left,Motor Vehicle Collisions,Not Admitted,8,202,3.37,0
2009-2010,2009,CTAS I - Resuscitation,1,Not Seen Or Left,Pneumonia,Not Admitted,0,215,3.58,0
2009-2010,2009,CTAS I - Resuscitation,1,Not Seen Or Left,Trauma,Not Admitted,28,195,3.25,0
2009-2010,2009,CTAS I - Resuscitation,1,Not Seen Or Left,Unintentional Falls,Not Admitted,0,396,6.6,0
2009-2010,2009,CTAS I - Resuscitation,1,Total,Acute Myocardial Infarction,Not Admitted,1637,97,1.62,0
2009-2010,2009,CTAS I - Resuscitation,1,Total,Any,Not Admitted,33824,253,4.22,0
2009-2010,2009,CTAS I - Resuscitation,1,Total,Asthma,Not Admitted,647,282,4.7,0
2009-2010,2009,CTAS I - Resuscitation,1,Total,Influenzal Pneumonia,Not Admitted,21,213,3.55,0
2009-2010,2009,CTAS I - Resuscitation,1,Total,Motor Vehicle Collisions,Not Admitted,2332,216,3.6,0
2009-2010,2009,CTAS I - Resuscitation,1,Total,Pneumonia,Not Admitted,885,403,6.72,0
